LOJA;LONGITUDE;LATITUDE;REGIAO;DISTRITO
1;-46,6351125;-23,54860376;GR01;CENTRO-SP
2;-43,18535;-22,90547917;GR12;RIO NITERÓI
3;-43,03067553;-22,88959198;GR12;RIO NITERÓI
5;-43,17990402;-22,90472517;GR12;RIO NITERÓI
6;-46,68802986;-23,5749753;GR01;CENTRO-SP
7;-43,39647491;-22,7700777;GR08;BAIXADA2
8;-46,32787175;-23,93483686;GR09;BAIXADA SANTISTA -SP
9;-47,06453855;-22,90762306;GR04;CAMPINAS
10;-43,1762695;-22,95722761;GR08;BAIXADA2
11;-43,37209484;-22,80087592;GR08;BAIXADA2
12;-43,3383016;-22,87292518;GR08;BAIXADA
14;-43,34597231;-21,76041385;GR12;REG. SERRANA/MG INT
15;-49,27402614;-25,43136466;GR05;CURITIBA
16;-49,07556964;-22,32323301;GR04;SP INTERIOR
17;-44,1048472;-22,51715179;GR08;BAIXADA
18;-43,17397281;-22,50913624;GR12;REG. SERRANA/MG INT
19;-43,23284366;-22,92410426;GR08;BAIXADA
20;-43,18581645;-22,96998478;GR03;BARRA/IPANEMA
21;-49,387245;-20,816215;GR04;SP INTERIOR
22;-43,21087753;-22,98384495;GR03;BARRA/IPANEMA
23;-43,93976938;-19,91791232;GR02;TRIANGULO MINEIRO/BH
24;-47,80947024;-21,17522643;GR04;SP INTERIOR
25;-43,28313421;-22,90345913;GR08;BAIXADA2
26;-52,1423779;-32,04726715;GR05;RIO GRANDE DO SUL
27;-46,6274319;-23,61984416;GR01;ABCD-SP
28;-51,16362525;-23,31094466;GR05;PARANA/SP INT
29;-46,70366044;-23,51897509;GR01;TABOÃO/OSASCO
30;-39,07370334;-13,37016273;GR11;SALVADOR 1
31;-43,45031128;-22,75920277;GR08;BAIXADA
32;-43,55956369;-22,90455969;GR03;RIO ZONA OESTE
33;-49,2624719;-16,6759982;GR10;GOIÁS/TOCANTINS
35;-47,8847055;-15,7952789;GR10;BRASÍLIA
36;-54,62058501;-20,46057973;GR10;MT/MS
37;-34,88327134;-8,060662609;GR06;PERNAMBUCO 2
38;-47,02689749;-22,89362081;GR04;CAMPINAS
39;-48,05223654;-15,83320287;GR10;TAGUATINGA
40;-43,94255751;-19,95831402;GR02;TRIANGULO MINEIRO/BH
41;-51,94595;-23,4209;GR05;PARANA/SP INT
42;-51,22849985;-30,02998354;GR05;RIO GRANDE DO SUL
43;-46,666665;-23,608475;GR01;CENTRO-SP
44;-38,43937099;-12,90418217;GR11;SALVADOR
45;-40,33156215;-20,31974714;GR02;ESPIRITO SANTO
